DEPTH,GR,LLD,RHOB,PhiNSS
M,API,ohm.m,g/cm3,porosity units
2950.0068,180.7067,1.5149,2.4297,0.4474
2950.1592,181.02,1.5264,2.4359,0.4496
2950.3116,181.6543,1.53,2.4455,0.4564
2950.464,180.9982,1.5594,2.4422,0.4888
2950.6164,181.8987,1.5867,2.4463,0.4895
2950.7688,188.3484,1.6005,2.4434,0.4807
2950.9212,191.5982,1.6278,2.4529,0.438
2951.0736,196.2281,1.6636,2.445,0.4479
2951.226,196.1583,1.6839,2.439,0.4332
2951.3784,192.1292,1.7121,2.4415,0.4538
2951.5308,192.2523,1.7412,2.4537,0.4662
2951.6832,183.4196,1.7195,2.4591,0.457
2951.8356,180.8332,1.725,2.4569,0.4756
2951.988,172.4545,1.7278,2.4417,0.4868
2952.1404,172.9166,1.6717,2.4335,0.5196
2952.2928,176.5586,1.5807,2.4406,0.4946
2952.4452,179.3532,1.5735,2.4568,0.5104
2952.5976,176.1833,1.6027,2.4734,0.4611
2952.75,175.3277,1.6673,2.4758,0.4664
2952.9024,175.9837,1.8323,2.4678,0.4564
2953.0548,179.4708,1.9768,2.4702,0.4791
2953.2072,177.3369,2.0702,2.4769,0.468
2953.3596,173.9982,2.1407,2.4778,0.4655
2953.512,173.8253,2.1649,2.4896,0.4834
2953.6644,179.0067,2.1711,2.5022,0.4383
2953.8168,178.7493,2.2205,2.5181,0.4329
2953.9692,178.1428,2.4834,2.5328,0.4188
2954.1216,167.1019,2.829,2.6048,0.4312
2954.274,156.8729,3.0462,2.7217,0.4242
2954.4264,140.2063,3.0854,2.814,0.4201
2954.5788,137.9456,2.8876,2.7598,0.4067
2954.7312,148.9552,2.7129,2.6631,0.4149
2954.8836,169.6562,2.6327,2.6002,0.4366
2955.036,182.1163,2.6011,2.5875,0.4618
2955.1884,185.4117,2.543,2.5843,0.478
2955.3408,179.8376,2.4946,2.5916,0.4578
2955.4932,177.3903,2.4541,2.584,0.4536
2955.6456,174.4264,2.405,2.5863,0.4142
2955.798,172.2642,2.4382,2.5985,0.4197
2955.9504,163.0834,2.5272,2.612,0.4177
2956.1028,162.8236,2.645,2.612,0.439
2956.2552,165.4332,2.8155,2.6147,0.4448
2956.4076,168.0311,2.7696,2.6327,0.4443
2956.56,159.5881,2.6745,2.6517,0.4349
2956.7124,159.1184,2.3922,2.6434,0.4475
2956.8648,168.0809,2.0878,2.6156,0.456
2957.0172,179.5726,2.0503,2.5732,0.4848
2957.1696,183.4552,2.1063,2.5474,0.4742
2957.322,181.1171,2.1686,2.5306,0.4756
2957.4744,179.6271,2.4776,2.5276,0.4722
2957.6268,180.7241,2.6312,2.518,0.4727
2957.7792,180.3344,2.5878,2.5286,0.4527
2957.9316,179.0939,2.5276,2.5374,0.4619
2958.084,185.6721,2.5015,2.5466,0.4427
2958.2364,188.6597,2.5293,2.5547,0.4798
2958.3888,193.4559,2.6338,2.5404,0.4828
2958.5412,197.3586,2.7324,2.5383,0.492
2958.6936,206.11,3.0855,2.5536,0.4662
2958.846,211.5168,3.7655,2.5619,0.4553
2958.9984,190.1154,4.9196,2.5477,0.4538
2959.1508,147.0339,7.3156,2.4278,0.4024
2959.3032,100.9222,9.9993,2.295,0.3521
2959.4556,68.4184,12.6909,2.2082,0.237
2959.608,59.033,17.8324,2.1848,0.1732
2959.7604,57.4743,24.5277,2.1883,0.135
2959.9128,63.9217,27.6906,2.2046,0.1289
2960.0652,63.3257,32.0458,2.2222,0.1357
2960.2176,64.7739,35.1935,2.2358,0.1437
2960.37,62.9808,30.8111,2.2411,0.1372
2960.5224,69.988,22.0245,2.2545,0.1297
2960.6748,72.2012,17.4359,2.2563,0.1278
2960.8272,83.1339,17.0602,2.2656,0.1435
2960.9796,97.978,19.0179,2.2847,0.1555
2961.132,111.2027,25.1775,2.3101,0.1815
2961.2844,105.3575,41.965,2.2873,0.1884
2961.4368,87.0881,79.2012,2.2417,0.1804
2961.5892,69.8124,109.2494,2.2044,0.148
2961.7416,60.4356,148.6834,2.1765,0.1246
2961.894,56.1874,180.6094,2.1538,0.1137
2962.0464,53.6626,183.2253,2.1336,0.1059
2962.1988,53.5399,168.9991,2.1215,0.0971
2962.3512,53.4451,152.8896,2.1193,0.0909
2962.5036,52.4709,147.2486,2.139,0.0943
2962.656,52.7304,152.1836,2.1718,0.1003
2962.8084,51.5279,161.7559,2.1942,0.1159
2962.9608,55.0269,182.9764,2.2017,0.1154
2963.1132,58.9413,208.9555,2.1847,0.1155
2963.2656,62.2323,215.9279,2.1691,0.1047
2963.418,60.2839,224.5186,2.1618,0.0964
2963.5704,56.0925,247.3728,2.1585,0.0913
2963.7228,52.9235,253.7138,2.1626,0.0886
2963.8752,53.0534,254.3764,2.1573,0.0897
2964.0276,54.9259,248.3397,2.171,0.0885
2964.18,57.6935,219.1864,2.1948,0.1024
2964.3324,58.3823,185.4202,2.2287,0.1131
2964.4848,56.5609,153.9146,2.2431,0.1186
2964.6372,56.6925,122.5291,2.25,0.114
2964.7896,57.7523,103.7089,2.2685,0.1151
2964.942,59.4245,90.8193,2.27,0.1206
